round_number,region,round,bracket_game_id,team1,team1_seed,team2,team2_seed,next_game_id,next_slot,source_game_url,team1_championship_rank,team1_championship_score,team1_adjusted_finish_score,team2_championship_rank,team2_championship_score,team2_adjusted_finish_score,baseline_favorite,baseline_underdog,baseline_favorite_score,baseline_underdog_score,baseline_quality_gap
2,West,Round of 64,W_R64_04,Grand Canyon,13,Maryland,4,W_R32_02,2,https://www.sports-reference.com/cbb/boxscores/2025-03-21-16-maryland.html,54,20.895522388059703,1.8783353155585456,8,89.55223880597015,2.7453717330322727,Maryland,Grand Canyon,2.7453717330322727,1.8783353155585456,0.8670364174737271
2,West,Round of 64,W_R64_05,Drake,11,Missouri,6,W_R32_03,1,https://www.sports-reference.com/cbb/boxscores/2025-03-20-19-missouri.html,34,50.74626865671642,2.2253846530000496,17,76.11940298507463,2.4811627769226647,Missouri,Drake,2.4811627769226647,2.2253846530000496,0.2557781239226151
2,West,Round of 64,W_R64_06,UNC Wilmington,14,Texas Tech,3,W_R32_03,2,https://www.sports-reference.com/cbb/boxscores/2025-03-20-22-texas-tech.html,53,22.388059701492537,1.955132726306282,10,86.56716417910448,2.6732068605812658,Texas Tech,UNC Wilmington,2.6732068605812658,1.955132726306282,0.7180741342749837
2,West,Round of 64,W_R64_07,Arkansas,10,Kansas,7,W_R32_04,1,https://www.sports-reference.com/cbb/boxscores/2025-03-20-19-kansas.html,51,25.37313432835821,1.9605376189568728,35,49.25373134328358,2.215675407087587,Kansas,Arkansas,2.215675407087587,1.9605376189568728,0.25513778813071397
2,West,Round of 64,W_R64_08,Omaha,15,St. John's (NY),2,W_R32_04,2,https://www.sports-reference.com/cbb/boxscores/2025-03-20-21-st-johns-ny.html,64,5.970149253731344,1.3204332719257872,15,79.1044776119403,2.4874002529796604,St. John's (NY),Omaha,2.4874002529796604,1.3204332719257872,1.1669669810538732
2,Midwest,Round of 64,M_R64_01,Southern Illinois–Edwardsville,16,Houston,1,M_R32_01,1,https://www.sports-reference.com/cbb/boxscores/2025-03-20-14-houston.html,63,7.462686567164179,1.4480510051765356,4,95.5223880597015,3.0023713597900503,Houston,Southern Illinois–Edwardsville,3.0023713597900503,1.4480510051765356,1.5543203546135147
2,Midwest,Round of 64,M_R64_02,Georgia,9,Gonzaga,8,M_R32_01,2,https://www.sports-reference.com/cbb/boxscores/2025-03-20-16-gonzaga.html,40,41.791044776119406,2.1197494559817907,5,94.02985074626864,2.8979790631644384,Gonzaga,Georgia,2.8979790631644384,2.1197494559817907,0.7782296071826478
2,Midwest,Round of 64,M_R64_03,McNeese,12,Clemson,5,M_R32_02,1,https://www.sports-reference.com/cbb/boxscores/2025-03-20-15-clemson.html,26,62.6865671641791,2.3349271153060336,23,67.16417910447761,2.362417014812336,Clemson,McNeese,2.362417014812336,2.3349271153060336,0.02748989950630243
2,Midwest,Round of 64,M_R64_04,High Point,13,Purdue,4,M_R32_02,2,https://www.sports-reference.com/cbb/boxscores/2025-03-20-12-purdue.html,33,52.23880597014925,2.2301194181655237,22,68.65671641791045,2.3816427703128564,Purdue,High Point,2.3816427703128564,2.2301194181655237,0.1515233521473327
2,Midwest,Round of 64,M_R64_05,Winner of FF_03,11,Illinois,6,M_R32_03,1,https://www.sports-reference.com/cbb/boxscores/2025-03-21-21-illinois.html,,,,19,73.13432835820896,2.46059147574095,,,,,
2,Midwest,Round of 64,M_R64_06,Troy,14,Kentucky,3,M_R32_03,2,https://www.sports-reference.com/cbb/boxscores/2025-03-21-19-kentucky.html,56,17.91044776119403,1.8591100167618404,14,80.59701492537313,2.5030302958902775,Kentucky,Troy,2.5030302958902775,1.8591100167618404,0.6439202791284371
2,Midwest,Round of 64,M_R64_07,Utah State,10,UCLA,7,M_R32_04,1,https://www.sports-reference.com/cbb/boxscores/2025-03-20-21-ucla.html,28,59.701492537313435,2.3140195722571506,27,61.19402985074627,2.3204862041174343,UCLA,Utah State,2.3204862041174343,2.3140195722571506,0.006466631860283734
2,Midwest,Round of 64,M_R64_08,Wofford,15,Tennessee,2,M_R32_04,2,https://www.sports-reference.com/cbb/boxscores/2025-03-20-18-tennessee.html,59,13.432835820895525,1.716425788649167,7,91.04477611940298,2.762518249969838,Tennessee,Wofford,2.762518249969838,1.716425788649167,1.0460924613206712
3,South,Round of 32,S_R32_01,,,,,S_S16_01,1,,,,,,,,,,,,
3,South,Round of 32,S_R32_02,,,,,S_S16_01,2,,,,,,,,,,,,
3,South,Round of 32,S_R32_03,,,,,S_S16_02,1,,,,,,,,,,,,
3,South,Round of 32,S_R32_04,,,,,S_S16_02,2,,,,,,,,,,,,
3,East,Round of 32,E_R32_01,,,,,E_S16_01,1,,,,,,,,,,,,
3,East,Round of 32,E_R32_02,,,,,E_S16_01,2,,,,,,,,,,,,
3,East,Round of 32,E_R32_03,,,,,E_S16_02,1,,,,,,,,,,,,
3,East,Round of 32,E_R32_04,,,,,E_S16_02,2,,,,,,,,,,,,
3,West,Round of 32,W_R32_01,,,,,W_S16_01,1,,,,,,,,,,,,
3,West,Round of 32,W_R32_02,,,,,W_S16_01,2,,,,,,,,,,,,
3,West,Round of 32,W_R32_03,,,,,W_S16_02,1,,,,,,,,,,,,
3,West,Round of 32,W_R32_04,,,,,W_S16_02,2,,,,,,,,,,,,
3,Midwest,Round of 32,M_R32_01,,,,,M_S16_01,1,,,,,,,,,,,,
3,Midwest,Round of 32,M_R32_02,,,,,M_S16_01,2,,,,,,,,,,,,
3,Midwest,Round of 32,M_R32_03,,,,,M_S16_02,1,,,,,,,,,,,,
3,Midwest,Round of 32,M_R32_04,,,,,M_S16_02,2,,,,,,,,,,,,
4,South,Sweet 16,S_S16_01,,,,,S_E8_01,1,,,,,,,,,,,,
4,South,Sweet 16,S_S16_02,,,,,S_E8_01,2,,,,,,,,,,,,
4,East,Sweet 16,E_S16_01,,,,,E_E8_01,1,,,,,,,,,,,,
4,East,Sweet 16,E_S16_02,,,,,E_E8_01,2,,,,,,,,,,,,
4,West,Sweet 16,W_S16_01,,,,,W_E8_01,1,,,,,,,,,,,,
4,West,Sweet 16,W_S16_02,,,,,W_E8_01,2,,,,,,,,,,,,
4,Midwest,Sweet 16,M_S16_01,,,,,M_E8_01,1,,,,,,,,,,,,
4,Midwest,Sweet 16,M_S16_02,,,,,M_E8_01,2,,,,,,,,,,,,
5,South,Elite Eight,S_E8_01,,,,,N_SF_01,1,,,,,,,,,,,,
5,East,Elite Eight,E_E8_01,,,,,N_SF_02,1,,,,,,,,,,,,
5,West,Elite Eight,W_E8_01,,,,,N_SF_01,2,,,,,,,,,,,,
5,Midwest,Elite Eight,M_E8_01,,,,,N_SF_02,2,,,,,,,,,,,,
6,National,Final Four,N_SF_01,,,,,N_F_01,1,,,,,,,,,,,,
6,National,Final Four,N_SF_02,,,,,N_F_01,2,,,,,,,,,,,,
7,National,Championship,N_F_01,,,,,,,,,,,,,,,,,,
